"","sequence","memoryscore","caffeine","sleephrs"
"1","FBI-O",9,"Yes",7
"2","FBIO-",1,"No",8
"3","FBIO-",0,"No",7
"4","FBIO-",7,"No",8
"5","FBIO-",10,"No",7.5
"6","FBI-O",6,"No",7
"7","FBIO-",7,"Yes",5
"8","FBI-O",6,"No",8
"9","FBI-O",30,"No",6.5
"10","FBIO-",7,"Yes",8
"11","FBI-O",6,"No",6.5
"12","FBIO-",5,"Yes",6
"13","FBI-O",12,"Yes",7.5
"14","FBI-O",3,"Yes",5.5
"15","FBI-O",15,"No",8
"16","FBIO-",8,"No",5.5
"17","FBIO-",10,"No",4.5
"18","FBI-O",3,"No",7.5
"19","FBIO-",0,"No",8
"20","FBI-O",9,"No",8
"21","FBI-O",20,"Yes",6
